"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"HSIL Limited","72296395","38972819","    53.91","33323576","0","     0.00","     0.00","23-Nov-2020 11:30:13","1143102","67017044","1.71"
"HT Media Limited","232748314","163955383","    70.44","68792931","0","     0.00","     0.00","23-Nov-2020 11:30:21","8729756","232733946","3.75"
"Harita Seating Systems Limited","7769040","5144962","    66.22","2624078","0","     0.00","     0.00","23-Nov-2020 11:30:26","81110","7599899","1.07"
"Harrisons  Malayalam Limited","18455405","9973266","    54.04","8482139","0","     0.00","     0.00","23-Nov-2020 11:30:12","657117","17866516","3.68"
"Hathway Cable & Datacom Limited","1770104500","1665562230","    94.09","104542270",,,,"23-Nov-2020 11:30:27","1594489","1770104485","0.09"
"Hatsun Agro Product Limited","161678826","119119992","    73.68","42558834","0","     0.00","     0.00","23-Nov-2020 11:30:30","4080558","160293318","2.55"
"Havells India Limited","626013006","372499880","    59.50","253513126","0","     0.00","     0.00","23-Nov-2020 11:30:18","1574587","624662679","0.25"
"HeidelbergCement India Limited","226613116","157244693","    69.39","69368423","0","     0.00","     0.00","23-Nov-2020 11:30:11","7320759","225454845","3.25"
"Hercules Hoists Limited","32000000","22275720","    69.61","9724280","0","     0.00","     0.00","23-Nov-2020 11:30:25","439328","30323750","1.45"
"Heritage Foods Limited","46398000","18512392","    39.90","27885608","0","     0.00","     0.00","23-Nov-2020 11:30:16","1542897","45775900","3.37"
"Hero MotoCorp Limited","199749523","69442081","    34.76","130307442","0","     0.00","     0.00","23-Nov-2020 11:30:12","1845354","198552836","0.93"
"Hester Biosciences Limited","8506865","4570944","    53.73","3935921","0","     0.00","     0.00","23-Nov-2020 11:30:30","204201","8166913","2.5"
"Hexa Tradex Limited","55244704","31967817","    57.87","23276887","0","     0.00","     0.00","23-Nov-2020 11:30:29","396165","54456146","0.73"
"Hi-Tech Pipes Limited","10926100","6851883","    62.71","4074217","479600","     7.00","     4.39","23-Nov-2020 11:30:31","746100","10926100","6.83"
"High Ground Enterprise Limited","115115949","57006068","    49.52","58109881","7000000","    12.28","     6.08","23-Nov-2020 11:30:31","8831626","110646169","7.98"
"Hikal Limited","123300750","84792764","    68.77","38507986","0","     0.00","     0.00","23-Nov-2020 11:30:18","3061524","122905070","2.49"
"Hilton Metal Forging Limited","12443016","6249997","    50.23","6193019","5575934","    89.21","    44.81","23-Nov-2020 11:30:24","293223","12443011","2.36"
"Himadri Speciality Chemical Limited","418807782","204815207","    48.90","213992575","0","     0.00","     0.00","23-Nov-2020 11:30:10","9096745","415278210","2.19"
"Himatsingka Seide Limited","98457160","46834592","    47.57","51622568","0","     0.00","     0.00","23-Nov-2020 11:30:05","3859933","97827925","3.95"
"Hind Rectifiers Limited","16563723","6998856","    42.25","9564867","0","     0.00","     0.00","23-Nov-2020 11:30:23","332590","13607279","2.44"
"Hind Syntex Limited","12718600","6135182","    48.24","6583418",,,,"23-Nov-2020 11:30:13","56669","11814087","0.48"
"Hindalco Industries Limited","2246352581","784225169","    34.91","1462127412","0","     0.00","     0.00","23-Nov-2020 11:30:14","12279916","2205666708","0.56"
"Hinduja Global Solutions Limited","20873164","14029452","    67.21","6843712","0","     0.00","     0.00","23-Nov-2020 11:30:24","611858","20834096","2.94"
"Hindustan Composites Limited","14769000","11073030","    74.97","3695970","0","     0.00","     0.00","23-Nov-2020 11:30:12","82657","14196452","0.58"
"Hindustan Construction Company Limited","1513028244","525214871","    34.71","987813373","483932677","    92.14","    31.98","23-Nov-2020 11:30:09","521216350","1508614492","34.55"
"Hindustan Copper Limited","925218000","703587852","    76.05","221630148","0","     0.00","     0.00","23-Nov-2020 11:30:27","11060942","925181436","1.2"
"Hindustan Media Ventures Limited","73671548","55038643","    74.71","18632905","0","     0.00","     0.00","23-Nov-2020 11:30:27","277559","73668736","0.38"
"Hindustan Motors Limited","208659293","67473254","    32.34","141186039","0","     0.00","     0.00","23-Nov-2020 11:30:28","2059666","202199757","1.02"
"Hindustan Oil Exploration Company Limited","132243289","5745","     0.00","132237544","0","     0.00","     0.00","23-Nov-2020 11:30:08","14863491","131282737","11.32"
"Hindustan Petroleum Corporation Limited","1523822625","778845375","    51.11","744977250","0","     0.00","     0.00","23-Nov-2020 11:30:06","21511284","1518396438","1.42"
"Hindustan Unilever Limited","2349556255","1454412858","    61.90","895143397","0","     0.00","     0.00","23-Nov-2020 11:30:14","9931532","2320320463","0.43"
"Hindustan Zinc Limited","4225319000","2743154310","    64.92","1482164690","626192276","    22.83","    14.82","23-Nov-2020 11:30:14","631174448","4222751850","14.95"
"Hindusthan National Glass & Industries Limited","89553565","63338840","    70.73","26214725","61123840","    96.50","    68.25","23-Nov-2020 11:30:26","71842900","89549009","80.23"
"Hitech Corporation Limited","17175700","12784480","    74.43","4391220","0","     0.00","     0.00","23-Nov-2020 11:30:25","123852","16847234","0.74"
"Honda India Power Products Limited","10143071","6762000","    66.67","3381071","0","     0.00","     0.00","23-Nov-2020 11:30:11","114071","10010261","1.14"
"Honeywell Automation India Limited","8841523","6631142","    75.00","2210381","0","     0.00","     0.00","23-Nov-2020 11:30:09","58601","8786684","0.67"
"Hotel Rugby Limited","14322800","3927952","    27.42","10394848","0","     0.00","     0.00","23-Nov-2020 11:30:15","439114","13359350","3.29"
"Housing Development Finance Corporation Limited","1795805932","0","     0.00","1795805932","0",,"     0.00","23-Nov-2020 11:30:12","17962129","1791999652","1"
"Housing Development and Infrastructure Limited","454003986","178351266","    39.28","275652720","0","     0.00","     0.00","23-Nov-2020 11:30:24","11260088","473964932","2.38"
"Hubtown Limited","72735871","37165686","    51.10","35570185","34125475","    91.82","    46.92","23-Nov-2020 11:30:23","36655339","72735854","50.4"
"Huhtamaki PPL Limited","75521934","50553997","    66.94","24967937","0","     0.00","     0.00","23-Nov-2020 11:30:12","1882310","74972726","2.51"
"ICDS Limited","13026700","6801304","    52.21","6225396","0","     0.00","     0.00","23-Nov-2020 11:30:17","473","10481248","0"
"ICICI Bank Limited","6896223149","1259076265","    18.26","5637146884","0","     0.00","     0.00","23-Nov-2020 11:30:16","41185519","6881522519","0.6"
"ICRA Limited","9651231","5037572","    52.20","4613659","0","     0.00","     0.00","23-Nov-2020 11:30:24","65751","9650950","0.68"
"ICSA (India) Limited","48138500","2983421","     6.20","45155079","2932143","    98.28","     6.09","23-Nov-2020 11:30:22","4600449","47473453","9.69"
"IDBI Bank Limited","10380593998","10183974842","    98.11","196619156","0","     0.00","     0.00","23-Nov-2020 11:30:11","19020016","10371098043","0.18"
"IDFC Limited","1596358316","0","     0.00","1596358316","0",,"     0.00","23-Nov-2020 11:30:21","104479625","1596350297","6.54"
"IFB Agro Industries Limited","9367111","6088680","    65.00","3278431","0","     0.00","     0.00","23-Nov-2020 11:30:12","112853","8946272","1.26"
"IFB Industries Limited","40518796","30373199","    74.96","10145597","0","     0.00","     0.00","23-Nov-2020 11:30:05","1068518","39789196","2.69"
"IFCI Limited","1895993092","1156955857","    61.02","739037235","0","     0.00","     0.00","23-Nov-2020 11:30:11","54832248","1881496426","2.91"
"IG Petrochemicals Limited","30794850","21167142","    68.74","9627708","0","     0.00","     0.00","23-Nov-2020 11:30:05","623496","29769741","2.09"
"IIFL Finance Limited","378395567","94547490","    24.99","283848077","0","     0.00","     0.00","23-Nov-2020 11:30:20","12075869","378122776","3.19"
"IL&FS Engineering and Construction Company Limited","131121078","55400884","    42.25","75720194","0","     0.00","     0.00","23-Nov-2020 11:30:25","928272","128307847","0.72"
"IL&FS Investment Managers Limited","314032740","158333152","    50.42","155699588","158333152","   100.00","    50.42","23-Nov-2020 11:30:17","4188082","307706845","1.36"
"IL&FS Transportation Networks Limited","328960027","240849000","    73.22","88111027","236582632","    98.23","    71.92","23-Nov-2020 11:30:27","2251109","328954369","0.68"
"IMP Powers Limited","8636563","4576604","    52.99","4059959","2524589","    55.16","    29.23","23-Nov-2020 11:30:15","2732932","8599356","31.78"
"INEOS Styrolution India Limited","17585625","13189218","    75.00","4396407","0","     0.00","     0.00","23-Nov-2020 11:30:11","538931","17434449","3.09"
"INOX Leisure Limited","102857754","53555179","    52.07","49302575","0","     0.00","     0.00","23-Nov-2020 11:30:21","1525181","112656343","1.35"
"IOL Chemicals and Pharmaceuticals Limited","58705502","25648998","    43.69","33056504","0","     0.00","     0.00","23-Nov-2020 11:30:28","4597015","58145666","7.91"
"IPCA Laboratories Limited","126352109","58216236","    46.07","68135873",,,,"23-Nov-2020 11:30:14","676663","126036289","0.54"
"IRB Infrastructure Developers Limited","351450000","203872598","    58.01","147577402","35645000","    17.48","    10.14","23-Nov-2020 11:30:25","18252418","351449902","5.19"
"ISMT Limited","146501383","75760903","    51.71","70740480","68900000","    90.94","    47.03","23-Nov-2020 11:30:24","70245174","134037510","52.41"
"ITC Limited","12305036551","14502025","     0.12","12290534526","0","     0.00","     0.00","23-Nov-2020 11:30:12","129309336","8584818035","1.51"
"ITD Cementation India Limited","171787584","80113180","    46.64","91674404","0","     0.00","     0.00","23-Nov-2020 11:30:16","3240002","171083119","1.89"
"ITI Limited","925119508","835419508","    90.30","89700000","0","     0.00","     0.00","23-Nov-2020 11:30:10","2529608","924477534","0.27"
"IVP Limited","10326263","7317237","    70.86","3009026","0","     0.00","     0.00","23-Nov-2020 11:30:09","136657","10202275","1.34"
"IVRCL Limited","782897692","42032166","     5.37","740865526","42032166","   100.00","     5.37","23-Nov-2020 11:30:17","47407986","782689950","6.06"
"IZMO Limited","13067173","3832624","    29.33","9234549","0","     0.00","     0.00","23-Nov-2020 11:30:23","412262","12862083","3.21"
"Igarashi Motors India Limited","31475048","23606288","    75.00","7868760","0","     0.00","     0.00","23-Nov-2020 11:30:10","768742","31249679","2.46"
"Iifl Wealth Management Limited","87363356","20100172","    23.01","67263184",,,,"23-Nov-2020 11:30:32","1154852","87364405","1.32"
"Imagicaaworld Entertainment Limited","88062123","27370127","    31.08","60691996","16800000","    61.38","    19.08","23-Nov-2020 11:30:30","18969957","88061121","21.54"
"Impex Ferro Tech Limited","87931604","60764846","    69.10","27166758","60764846","   100.00","    69.10","23-Nov-2020 11:30:20","61155419","87174633","70.15"
"Ind-Swift Laboratories Limited","59086860","24814017","    42.00","34272843","21556851","    86.87","    36.48","23-Nov-2020 11:30:16","24038508","58900076","40.81"
"Ind-Swift Limited","54164653","30090404","    55.55","24074249","22104121","    73.46","    40.81","23-Nov-2020 11:30:20","22422348","53452016","41.95"
"Indbank Merchant Banking Services Limited","44378200","28773800","    64.84","15604400","0","     0.00","     0.00","23-Nov-2020 11:30:09","637413","42491068","1.5"
"India Glycols Limited","30961500","18891032","    61.01","12070468","15790365","    83.59","    51.00","23-Nov-2020 11:30:05","1343602","30357713","4.43"
"India Motor Parts and Accessories Limited","12480000","3833168","    30.71","8646832","0","     0.00","     0.00","23-Nov-2020 11:30:21","39633","11746871","0.34"
"India Nippon Electricals Limited","22621424","15018332","    66.39","7603092","0","     0.00","     0.00","23-Nov-2020 11:30:16","472552","22325664","2.12"
"Indiabulls Housing Finance Limited","462348902","117812312","    25.48","344536590","0","     0.00","     0.00","23-Nov-2020 11:30:30","29451736","462341106","6.37"
"Indiabulls Integrated Services Limited","89325569","38633988","    43.25","50691581","0","     0.00","     0.00","23-Nov-2020 11:30:29","2487893","89310149","2.79"
"Indiabulls Real Estate Limited","454663876","109707453","    24.13","344956423","0","     0.00","     0.00","23-Nov-2020 11:30:24","74158440","454650374","16.31"
"Indian Bank","1129366570","994549600","    88.06","134816970","0","     0.00","     0.00","23-Nov-2020 11:30:23","9363782","1127864644","0.83"
"Indian Card Clothing Company Limited","4551120","2610166","    57.35","1940954","0","     0.00","     0.00","23-Nov-2020 11:30:15","49512","5838048","0.85"
"Indian Hume Pipe Company Limited","48447170","33874770","    69.92","14572400","0","     0.00","     0.00","23-Nov-2020 11:30:12","767606","47845930","1.6"
"Indian Metals & Ferro Alloys Limited","26977053","15831856","    58.69","11145197","0","     0.00","     0.00","23-Nov-2020 11:30:27","1074391","24971908","4.3"
"Indian Oil Corporation Limited","9414158922","4848133178","    51.50","4566025744","0","     0.00","     0.00","23-Nov-2020 11:30:12","54439616","9399276467","0.58"
"Indian Overseas Bank","16436988324","15752902638","    95.84","684085686","0","     0.00","     0.00","23-Nov-2020 11:30:17","20795939","16410385615","0.13"
"Indian Terrain Fashions Limited","37941300","11416100","    30.09","26525200","7646450","    66.98","    20.15","23-Nov-2020 11:30:28","8366448","37939875","22.05"
"Indo Count Industries Limited","197399670","116346750","    58.94","81052920","0","     0.00","     0.00","23-Nov-2020 11:30:12","4272057","192536793","2.22"
"Indo Rama Synthetics (India) Limited","261113151","213373508","    81.72","47739643","0","     0.00","     0.00","23-Nov-2020 11:30:19","5313934","260628213","2.04"
"Indo Tech Transformers Limited","10620000","8350498","    78.63","2269502","0","     0.00","     0.00","23-Nov-2020 11:30:22","113239","10616748","1.07"
"Indo Thai Securities Limited","10000000","7089047","    70.89","2910953","0","     0.00","     0.00","23-Nov-2020 11:30:29","67164","9999985","0.67"
"Indo-National Limited","3750000","2450683","    65.35","1299317","558414","    22.79","    14.89","23-Nov-2020 11:30:17","599369","3696428","16.21"
"Indoco Remedies Limited","92150355","54081146","    58.69","38069209","0","     0.00","     0.00","23-Nov-2020 11:30:20","1161581","91071179","1.28"
"Indosolar Limited","372067116","211698048","    56.90","160369068","136885495","    64.66","    36.79","23-Nov-2020 11:30:28","140081231","372058929","37.65"
"Indowind Energy Limited","89741486","45161676","    50.32","44579810","4000000","     8.86","     4.46","23-Nov-2020 11:30:24","4833546","89707438","5.39"
"Indraprastha Gas Limited","700000800","315000400","    45.00","385000400","0","     0.00","     0.00","23-Nov-2020 11:30:19","4267912","664960331","0.64"
"Indraprastha Medical Corporation Limited","91673000","46751700","    51.00","44921300","0","     0.00","     0.00","23-Nov-2020 11:30:16","3667700","65019560","5.64"
