"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"PSL","PSL Limited","Edelweiss Asset Reconstruction Company Limited In the capacity as trustee of EARC TRUST SC 30 & EARC Trust SC 18 holding securities for the benefit of SR holders of the respective Trusts","27-AUG-2020 to 08-SEP-2020",,"8660349","0","Reg29(2)","08-Sep-2020, 19-12"
"AVSL","AVSL Industries Limited","Mrs Priti Bansal","07-SEP-2020 to 07-SEP-2020","39000",,"3705840","Reg29(1)","08-Sep-2020, 19-10"
"TEXRAIL","Texmaco Rail & Engineering Limited","Zuari Investments Limited","04-SEP-2020 to 04-SEP-2020",,"3900000","25063900","Reg29(2)","08-Sep-2020, 19-08"
"AVSL","AVSL Industries Limited","Priti Bansal","07-SEP-2020 to 07-SEP-2020","39000",,"3705840","Reg29(1)","08-Sep-2020, 19-02"
"PRECOT","Precot Meridian Limited","Prashanth Chandran","07-SEP-2020 to 07-SEP-2020","1124",,"1229772","Reg29(1)","08-Sep-2020, 19-02"
"TRIDENT","Trident Limited","Trident Capital Limited","07-SEP-2020 to 07-SEP-2020","1500000",,"187837371","Reg29(2)","08-Sep-2020, 18-56"
"SHILPAMED","Shilpa Medicare Limited","Baring India Private Equity Fund III Listed Investments Limited","04-SEP-2020 to 04-SEP-2020",,,"1107424","Reg29(2)","08-Sep-2020, 18-24"
"SHILPAMED","Shilpa Medicare Limited","Baring India Private Equity Fund III Limited","04-SEP-2020 to 04-SEP-2020",,"6000000","0","Reg29(2)","08-Sep-2020, 18-24"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","03-SEP-2020 to 03-SEP-2020","24447",,"32979250","Reg29(2)","08-Sep-2020, 09-52"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","04-SEP-2020 to 04-SEP-2020","161488",,"33140738","Reg29(2)","08-Sep-2020, 09-52"
"GODREJIND","Godrej Industries Limited","Godrej Seeds & Genetics Limited","02-SEP-2020 to 02-SEP-2020","285002",,"8486859","Reg29(1)","08-Sep-2020, 09-52"
"GODREJIND","Godrej Industries Limited","Godrej Seeds & Genetics Limited","02-SEP-2020 to 02-SEP-2020","285002",,"8486859","Reg29(2)","08-Sep-2020, 09-52"
"GPTINFRA","GPT Infraprojects Limited","Axis Trustee Services Limited ATSL acting as Pledgee","16-JAN-2020 to 03-SEP-2020","3742604",,"14833860","Reg29(2)","08-Sep-2020, 09-52"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","BNP Paribas acting through its Hong Kong branch in capacity of security agent for the benefit of lenders","31-AUG-2020 to 01-SEP-2020","7728210",,"7728210","Reg29(1)","08-Sep-2020, 09-52"
"PRECOT","Precot Meridian Limited","Prashanth Chandran","01-SEP-2020 to 01-SEP-2020","5511",,"7341851","Reg29(1)","08-Sep-2020, 09-52"
"JAMNAAUTO","Jamna Auto Industries Limited","MAP Auto Limited","04-SEP-2020 to 04-SEP-2020","245000",,"134933021","Reg29(2)","07-Sep-2020, 21-58"
"ESTER","Ester Industries Limited","Vettel Internationaal Limited","01-SEP-2020 to 01-SEP-2020",,"3600000","8786861","Reg29(2)","07-Sep-2020, 21-54"
"JUMPNET","Jump Networks Limited","Globe Capital Market Limited","28-AUG-2020 to 28-AUG-2020",,,"3615649","Reg29(2)","07-Sep-2020, 21-54"
"BRIGHT","Bright Solar Limited","Piyushkumar Thumar","04-SEP-2020 to 04-SEP-2020",,"99000","13599000","Reg29(2)","07-Sep-2020, 21-52"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","The Hindustan Times Limited","04-SEP-2020 to 04-SEP-2020","39990",,"58746582","Reg29(2)","07-Sep-2020, 21-48"
"APARINDS","Apar Industries Limited","Maithili N Desai Family Private Trust No 2 Trustee Maithili Trusteeship Services Private Limited","04-SEP-2020 to 04-SEP-2020","5000",,"4393187","Reg29(2)","07-Sep-2020, 21-46"
"HIMATSEIDE","Himatsingka Seide Limited","Orient Silk Private Ltd","03-SEP-2020 to 03-SEP-2020","702945",,"3430456","Reg29(2)","07-Sep-2020, 20-20"
"HIMATSEIDE","Himatsingka Seide Limited","Priya  Resources Ltd","03-SEP-2020 to 03-SEP-2020","292560",,"3121360","Reg29(2)","07-Sep-2020, 20-20"
"HIMATSEIDE","Himatsingka Seide Limited","Bihar Mercantile Union Ltd","03-SEP-2020 to 03-SEP-2020",,"1652505","6273495","Reg29(2)","07-Sep-2020, 20-20"
"HIMATSEIDE","Himatsingka Seide Limited","Aditya Resources Ltd","03-SEP-2020 to 03-SEP-2020","303910",,"3297470","Reg29(2)","07-Sep-2020, 20-20"
"HIMATSEIDE","Himatsingka Seide Limited","Awdhan Trading Company Ltd","03-SEP-2020 to 03-SEP-2020","353090",,"4127787","Reg29(2)","07-Sep-2020, 20-20"
"SHRIRAMCIT","Shriram City Union Finance Limited","Arkaig Acquisition FPI Ltd","07-SEP-2020 to 07-SEP-2020","1223810",,"1611969","Reg29(2)","07-Sep-2020, 20-18"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","04-SEP-2020 to 04-SEP-2020","13442",,"8222542","Reg29(2)","07-Sep-2020, 20-14"
"ORISSAMINE","The Orissa Minerals Development Company Limited","Life Insurance Corporation of India","12-FEB-2020 to 02-SEP-2020",,"122089","669838","Reg29(2)","07-Sep-2020, 20-14"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","27-AUG-2020 to 04-SEP-2020","21853",,"2362320","Reg29(2)","07-Sep-2020, 20-12"
"LINCPEN","Linc Pen & Plastics Limited","Rohit Deepak Jalan","03-SEP-2020 to 03-SEP-2020",,"700000","281450","Reg29(2)","07-Sep-2020, 20-12"
"GODREJIND","Godrej Industries Limited","Smita Godrej Crishna","04-SEP-2020 to 04-SEP-2020",,"607634","0","Reg29(2)","07-Sep-2020, 20-10"
"GODREJIND","Godrej Industries Limited","Smita Godrej Crishna jointly with Nyrika Holkar","04-SEP-2020 to 04-SEP-2020","607634",,"607634","Reg29(2)","07-Sep-2020, 20-10"
"LINCPEN","Linc Pen & Plastics Limited","Rohit Deepak Jalan HUF","03-SEP-2020 to 03-SEP-2020","700000",,"700000","Reg29(2)","07-Sep-2020, 20-10"
"GODREJIND","Godrej Industries Limited","Smita Godrej Crishna jointly with Nyrika Holkar","04-SEP-2020 to 04-SEP-2020","607634",,"607634","Reg29(1)","07-Sep-2020, 20-08"
"INDOTECH","Indo Tech Transformers Limited","Prolec GE Internacional S De  R L De C V","03-SEP-2020 to 03-SEP-2020",,"7366032","529593","Reg29(2)","07-Sep-2020, 15-30"
"ZEEL","Zee Entertainment Enterprises Limited","Sprucegrove Investment Management","02-SEP-2020 to 02-SEP-2020","4404030",,"50946246","Reg29(1)","07-Sep-2020, 15-30"
"CLEDUCATE","CL Educate Limited","Gautam Puri HUF","03-SEP-2020 to 03-SEP-2020","8462",,"21843","Reg29(2)","07-Sep-2020, 15-28"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshlumar Gandhi","03-SEP-2020 to 03-SEP-2020","1500",,"21000","Reg29(2)","07-Sep-2020, 15-28"
"SADBHAV","Sadbhav Engineering Limited","ICICI Prudential Life Insurance Company Limited","03-SEP-2020 to 03-SEP-2020",,"5252897","4840763","Reg29(2)","07-Sep-2020, 15-28"
"SOBHA","Sobha Limited","Ravi PNC Menon along with PAC","05-SEP-2020 to 05-SEP-2020","10000",,"3134467","Reg29(2)","07-Sep-2020, 15-28"
"SOBHA","Sobha Limited","Ravi PNC Menon along with PAC","04-SEP-2020 to 04-SEP-2020","10000",,"3134467","Reg29(2)","07-Sep-2020, 15-28"
"CLEDUCATE","CL Educate Limited","Gautam Puri HUF","04-SEP-2020 to 04-SEP-2020","6819",,"28662","Reg29(2)","07-Sep-2020, 09-12"
"CLEDUCATE","CL Educate Limited","Gautam Puri","04-SEP-2020 to 04-SEP-2020","4600",,"2334524","Reg29(2)","07-Sep-2020, 09-12"
"APLAPOLLO","APL Apollo Tubes Limited","Kitara PIIN 1001","10-JUL-2020 to 04-SEP-2020",,"831759","2168241","Reg29(2)","07-Sep-2020, 08-42"
"MOTOGENFIN","The Motor & General Finance Limited","GEE GEE HOLDINGS PRIVATE LIMITED","04-SEP-2020 to 04-SEP-2020","1971",,"1791972","Reg29(2)","07-Sep-2020, 08-40"
"AVSL","AVSL Industries Limited","Mrs Priti  Bansal","04-SEP-2020 to 04-SEP-2020","18000",,"3666840","Reg29(1)","07-Sep-2020, 08-38"
"KSCL","Kaveri Seed Company Limited","PABRAI INVESTMENT FUNDS","01-SEP-2020 to 03-SEP-2020",,"1222670","3145549","Reg29(2)","04-Sep-2020, 20-42"
"GANGESSECU","Ganges Securities Limited","Ronson Traders Limited","04-SEP-2020 to 04-SEP-2020","6913",,"343038","Reg29(2)","04-Sep-2020, 20-10"
"PALASHSECU","Palash Securities Limited","Ronson Traders Limited","04-SEP-2020 to 04-SEP-2020","1721",,"473826","Reg29(2)","04-Sep-2020, 20-10"
"GOCLCORP","GOCL Corporation Limited","Hinduja Capital Limited","01-SEP-2020 to 01-SEP-2020",,"146000","36600791","Reg29(2)","04-Sep-2020, 19-58"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","The Hindustan Times Limited","03-SEP-2020 to 03-SEP-2020","10000",,"58706592","Reg29(2)","04-Sep-2020, 19-56"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","03-SEP-2020 to 03-SEP-2020","1500",,"36000","Reg29(2)","04-Sep-2020, 19-56"
"PRECOT","Precot Meridian Limited","Ashwin Chandran along with PAC","03-SEP-2020 to 03-SEP-2020","1598",,"7348648","Reg29(1)","04-Sep-2020, 18-46"
"INDOTECH","Indo Tech Transformers Limited","Shirdi Sai Electricals Limited","03-SEP-2020 to 03-SEP-2020","7366032",,"7820905","Reg29(1)","04-Sep-2020, 18-42"
"GRANULES","Granules India Limited","IDBI Trusteeship Services Limited","01-SEP-2020 to 01-SEP-2020",,"3600000","0","Reg29(2)","04-Sep-2020, 18-40"
"AVSL","AVSL Industries Limited","Priti Bansal","04-SEP-2020 to 04-SEP-2020","18000",,"3666840","Reg29(1)","04-Sep-2020, 18-08"
"PSPPROJECT","PSP Projects Limited","Prahaladbhai Shivrambhai Patel","03-SEP-2020 to 03-SEP-2020","10000",,"18502808","Reg29(2)","04-Sep-2020, 18-08"
"GOLDIAM","Goldiam International Limited","Anmol Rashesh Bhansali","04-SEP-2020 to 04-SEP-2020","8956",,"3491633","Reg29(2)","04-Sep-2020, 18-06"
"ZENTEC","Zen Technologies Limited","Ashok Atluri alongwith PAC","03-SEP-2020 to 03-SEP-2020","2199940",,"46354500","Reg29(2)","04-Sep-2020, 18-04"
"INDIAMART","Indiamart Intermesh Limited","MMPL Trust","01-SEP-2020 to 01-SEP-2020","1317",,"1317","Reg29(1)","04-Sep-2020, 18-02"
"INDIAMART","Indiamart Intermesh Limited","Konark Trust","01-SEP-2020 to 01-SEP-2020","14728",,"14728","Reg29(1)","04-Sep-2020, 17-58"
"IGL","Indraprastha Gas Limited","Life Insurance Corporation of India","12-AUG-2020 to 31-AUG-2020","14312861",,"65163378","Reg29(2)","04-Sep-2020, 10-32"
"FRETAIL","Future Retail Limited","Bennett Coleman and Company Ltd","20-AUG-2018 to 31-AUG-2020","7388852",,"30503593","Reg29(2)","04-Sep-2020, 10-14"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","02-SEP-2020 to 02-SEP-2020","28340",,"32954803","Reg29(2)","04-Sep-2020, 10-12"
"PRECOT","Precot Meridian Limited","Ashwin Chandran","02-SEP-2020 to 02-SEP-2020","5199",,"7347050","Reg29(1)","04-Sep-2020, 10-12"
"PRECOT","Precot Meridian Limited","Ashwin Chandran along with PAC","02-SEP-2020 to 02-SEP-2020","5199",,"7347050","Reg29(1)","04-Sep-2020, 10-12"
"CLEDUCATE","CL Educate Limited","Gautam Puri HUF","02-SEP-2020 to 02-SEP-2020","5426",,"13381","Reg29(2)","04-Sep-2020, 10-10"
"INDUSINDBK","Indusind Bank Limited","Route One Offshore Master Fund L P","02-SEP-2020 to 02-SEP-2020","10693264",,"31114303","Reg29(1)","04-Sep-2020, 10-10"
"INDUSINDBK","Indusind Bank Limited","Route One Fund I L P","02-SEP-2020 to 02-SEP-2020","7159788",,"20844081","Reg29(1)","04-Sep-2020, 10-10"
"INDUSINDBK","Indusind Bank Limited","Route One Fund II L P","02-SEP-2020 to 02-SEP-2020","0",,"298691","Reg29(1)","04-Sep-2020, 10-10"
"JAMNAAUTO","Jamna Auto Industries Limited","MAP Auto Limited","01-SEP-2020 to 01-SEP-2020","64867",,"134510021","Reg29(2)","04-Sep-2020, 10-10"
"USHAMART","Usha Martin Limited","Peterhouse Investments Ltd","01-SEP-2020 to 02-SEP-2020",,"1500000","20904919","Reg29(2)","04-Sep-2020, 10-10"
"WABCOINDIA","WABCO India Limited","ZF International UK Limited ZF Friedrichshafen AG WABCO Asia Private Limited and LucasVarity","02-SEP-2020 to 02-SEP-2020","3434775",,"17660459","Reg29(2)","04-Sep-2020, 10-10"
"FORTIS","Fortis Healthcare Limited","York Asian Strategic Metric Master L P along with PAC","02-SEP-2020 to 02-SEP-2020","493670",,"37948355","Reg29(1)","04-Sep-2020, 10-08"
"SATIN","Satin Creditcare Network Limited","TRISHASHNA HOLDINGS & INVESTMENTS PRIVATE LIMITED  along with PAC","01-SEP-2020 to 01-SEP-2020","11580134",,"27288878","Reg29(2)","04-Sep-2020, 10-08"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","01-SEP-2020 to 01-SEP-2020","10000",,"8209100","Reg29(2)","04-Sep-2020, 10-06"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","31-AUG-2020 to 31-AUG-2020","11100",,"8199100","Reg29(2)","04-Sep-2020, 10-06"
"CLEDUCATE","CL Educate Limited","Gautam Puri","31-AUG-2020 to 31-AUG-2020","6500",,"2329924","Reg29(2)","04-Sep-2020, 10-06"
"CLEDUCATE","CL Educate Limited","Gautam  Puri HUF","01-SEP-2020 to 01-SEP-2020","205",,"7955","Reg29(2)","04-Sep-2020, 10-06"
"KSCL","Kaveri Seed Company Limited","Pabrai Investment Fund II LP","03-SEP-2020 to 03-SEP-2020",,"1222670","3145549","Reg29(2)","04-Sep-2020, 10-06"
"MMP","MMP Industries Limited","Star Circlips and Engineering Limited","31-AUG-2020 to 01-SEP-2020","41500",,"996768","Reg29(2)","04-Sep-2020, 10-06"
"MMP","MMP Industries Limited","Star Circlips and Engineering Limited","31-AUG-2020 to 01-SEP-2020","41500",,"996768","Reg29(2)","04-Sep-2020, 10-06"
"ORIENTBELL","Orient Bell Limited","Freesia investment and Trading Company Ltd","01-SEP-2020 to 01-SEP-2020","9995",,"569540","Reg29(2)","04-Sep-2020, 10-06"
"GOCLCORP","GOCL Corporation Limited","Hinduja Capital Limited","01-SEP-2020 to 01-SEP-2020",,"146000","36600791","Reg29(2)","04-Sep-2020, 10-04"
"ORIENTBELL","Orient Bell Limited","Freesia investment and Trading Company Ltd","02-SEP-2020 to 02-SEP-2020","5000",,"574540","Reg29(2)","04-Sep-2020, 10-04"
"ORISSAMINE","The Orissa Minerals Development Company Limited","Life Insurance Corporation of India","12-FEB-2020 to 02-SEP-2020",,"122089","669838","Reg29(2)","03-Sep-2020, 20-46"
"USHAMART","Usha Martin Limited","Neutral Publishing House Limited","02-SEP-2020 to 02-SEP-2020","500000",,"9896588","Reg29(2)","03-Sep-2020, 20-46"
"MRO-TEK","MRO-TEK Realty Limited","Aniruddha Bhanuprasad Mehta","03-SEP-2020 to 03-SEP-2020","3133",,"3032380","Reg29(1)","03-Sep-2020, 20-44"
"SOBHA","Sobha Limited","Ravi PNC Menon along with PAC","28-AUG-2020 to 31-AUG-2020","3128",,"3124467","Reg29(2)","03-Sep-2020, 18-26"
"SOBHA","Sobha Limited","Ravi PNC Menon along with PAC","28-AUG-2020 to 31-AUG-2020","3128",,"3124467","Reg29(2)","03-Sep-2020, 18-24"
"STARCEMENT","Star Cement Limited","Sajjan Bhajanka along with PAC","29-NOV-2019 to 01-SEP-2020",,"3387622","276917631","Reg29(2)","03-Sep-2020, 18-22"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","The Hindustan Times Limited","02-SEP-2020 to 02-SEP-2020","12577",,"58696592","Reg29(2)","03-Sep-2020, 17-50"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","The Hindustan Times Limited","01-SEP-2020 to 01-SEP-2020","41242",,"58684015","Reg29(2)","03-Sep-2020, 17-50"
"SANGAMIND","Sangam (India) Limited","Sangam Business Credit Ltd","19-MAY-2015 to 19-MAY-2015","1795990",,"4951783","Reg29(2)","03-Sep-2020, 16-58"
"PRECOT","Precot Meridian Limited","Prashanth Chandran","01-SEP-2020 to 01-SEP-2020","5511",,"7341851","Reg29(1)","03-Sep-2020, 16-56"
"KSHITIJPOL","Kshitij Polyline Limited","Hemraj Gala","05-AUG-2020 to 31-AUG-2020","184000",,"2313417","Reg29(2)","03-Sep-2020, 16-52"
"SOBHA","Sobha Limited","Ravi PNC Menon along with PAC","28-AUG-2020 to 31-AUG-2020","10600",,"3121339","Reg29(2)","02-Sep-2020, 22-20"
"ZENTEC","Zen Technologies Limited","Tara Dutt Atluri along with PAC","01-SEP-2020 to 01-SEP-2020",,"1801000","44154560","Reg29(2)","02-Sep-2020, 22-18"
"USHAMART","Usha Martin Limited","Neutral Publishing House Limited","01-SEP-2020 to 01-SEP-2020","650000",,"9396588","Reg29(2)","02-Sep-2020, 21-30"
"GOCLCORP","GOCL Corporation Limited","Hinduja Capital Limited","31-AUG-2020 to 31-AUG-2020",,"400000","36746791","Reg29(2)","02-Sep-2020, 21-26"
"GOLDIAM","Goldiam International Limited","Anmol Rashesh Bhansal","01-SEP-2020 to 01-SEP-2020","12677",,"3482677","Reg29(2)","02-Sep-2020, 21-24"
"CALSOFT","California Software Company Limited","MAHALINGAM VASUDEVAN","31-AUG-2020 to 31-AUG-2020",,"100000","5132972","Reg29(2)","02-Sep-2020, 21-22"
"PSPPROJECT","PSP Projects Limited","Prahaladbhai Shivrambhai Patel","31-AUG-2020 to 31-AUG-2020","10000",,"18492808","Reg29(2)","02-Sep-2020, 21-22"
"SOLARA","Solara Active Pharma Sciences Limited","KARUNA  BUSINESS  SOLUTIONS LLP along with PAC","01-SEP-2020 to 01-SEP-2020",,,"15847370","Reg29(2)","02-Sep-2020, 21-20"
"SEQUENT","Sequent Scientific Limited","K R Ravishankar","19-AUG-2020 to 20-AUG-2020",,"27899930","0","Reg29(2)","02-Sep-2020, 21-18"
"GOCLCORP","GOCL Corporation Limited","Hinduja Capital Limited","31-AUG-2020 to 31-AUG-2020",,"400000","36746791","Reg29(2)","02-Sep-2020, 21-16"
"MAXHEALTH","Max Healthcare Institute Limited","Kayak Investments Holding Pte Ltd","31-AUG-2020 to 01-SEP-2020","45169025",,"469845836","Reg29(2)","02-Sep-2020, 21-14"
"KIRLOSENG","Kirloskar Oil Engines Limited","SBI Mutual Fund under its various Scheme","01-SEP-2020 to 01-SEP-2020","242947",,"7247082","Reg29(1)","02-Sep-2020, 21-00"
"RAMASTEEL","Rama Steel Tubes Limited","Naresh Kumar Bansal","01-SEP-2020 to 01-SEP-2020","45400",,"6259678","Reg29(2)","02-Sep-2020, 21-00"
"MAXHEALTH","Max Healthcare Institute Limited","Max Ventures Investment Holdings Pvt Ltd along with PAC","31-AUG-2020 to 01-SEP-2020",,"45169025","63686512","Reg29(2)","02-Sep-2020, 20-52"
"JAGRAN","Jagran Prakashan Limited","Sunil Gupta","31-AUG-2020 to 31-AUG-2020","50000",,"100000","Reg29(2)","02-Sep-2020, 20-50"
"JAGRAN","Jagran Prakashan Limited","Sameer Gupta","31-AUG-2020 to 31-AUG-2020","50000",,"159856","Reg29(2)","02-Sep-2020, 20-48"
"MANINFRA","Man Infraconstruction Limited","Manan P Shah","31-AUG-2020 to 31-AUG-2020","50000",,"13651497","Reg29(2)","02-Sep-2020, 16-56"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","28-AUG-2020 to 28-AUG-2020","100000",,"8188000","Reg29(2)","02-Sep-2020, 16-44"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","01-SEP-2020 to 01-SEP-2020","48334",,"32926463","Reg29(2)","02-Sep-2020, 16-30"
"KSHITIJPOL","Kshitij Polyline Limited","Hemraj Gala","05-AUG-2020 to 31-AUG-2020","184000",,"2313417","Reg29(2)","02-Sep-2020, 16-28"
"ENGINERSIN","Engineers India Limited","L&T Mutual Fund","31-AUG-2020 to 31-AUG-2020",,"12794374","18921326","Reg29(2)","02-Sep-2020, 10-10"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","31-AUG-2020 to 31-AUG-2020","377586",,"32878129","Reg29(2)","02-Sep-2020, 10-06"
"SFL","Sheela Foam Limited","DSP Trustee Pvt Ltd on behalf of schemes of DSP Mutual Fund and DSP Alternative Investment Fund and DSP Global Services Mauritius Limited","28-AUG-2020 to 28-AUG-2020","1000000",,"2939524","Reg29(1)","02-Sep-2020, 10-04"
"ANANTRAJ","Anant Raj Limited","Amit Sarin and Amar Sarin along with Pac","30-SEP-2019 to 28-AUG-2020","107585405",,"191621597","Reg29(2)","02-Sep-2020, 09-36"
"CALSOFT","California Software Company Limited","MAHALINGAM VASUDEVAN","31-AUG-2020 to 31-AUG-2020","360000",,"5232972","Reg29(2)","02-Sep-2020, 09-36"
"ORIENTBELL","Orient Bell Limited","Freesia Investment and Trading Co Limited","31-AUG-2020 to 31-AUG-2020","5000",,"559545","Reg29(2)","02-Sep-2020, 09-36"
"AAVAS","Aavas Financiers Limited","Partners Group ESCL Ltd","31-AUG-2020 to 31-AUG-2020",,"1778105","11240151","Reg29(2)","02-Sep-2020, 09-34"
"AAVAS","Aavas Financiers Limited","Partners Group Private Equity Master Fund LLC","31-AUG-2020 to 31-AUG-2020",,"780319","4932728","Reg29(2)","02-Sep-2020, 09-34"
"AVG","AVG Logistics Limited","Sixth Sense India Opportunities II","29-AUG-2020 to 29-AUG-2020","1022727",,"2826327","Reg29(2)","02-Sep-2020, 09-34"
"ELECTCAST","Electrosteel Castings Limited","G K Investments Ltd along with PAC","25-NOV-2019 to 31-AUG-2020","9106746",,"230846946","Reg29(2)","02-Sep-2020, 09-34"
"PALASHSECU","Palash Securities Limited","Ronson Traders Ltd.","31-AUG-2020 to 31-AUG-2020","6692",,"472105","Reg29(2)","01-Sep-2020, 21-48"
"MRO-TEK","MRO-TEK Realty Limited","Aniruddha Bhanuprasad Mehta","01-SEP-2020 to 01-SEP-2020","988",,"3029247","Reg29(1)","01-Sep-2020, 21-46"
"TWL","Titagarh Wagons Limited","Savitri Devi Chowdhary along with PAC","28-AUG-2020 to 29-AUG-2020",,"0","52836540","Reg29(2)","01-Sep-2020, 21-46"
"TWL","Titagarh Wagons Limited","Chowdhary Foundation along with PAC","28-AUG-2020 to 29-AUG-2020","0",,"52836540","Reg29(2)","01-Sep-2020, 21-44"
"AHLWEST","Asian Hotels (West) Limited","Mr Sandeep Gupta Mrs Madhu Jain Chaman Lal Brij Rani Charitable Trust","01-JUN-2019 to 28-AUG-2020","204171",,"8185906","Reg29(2)","01-Sep-2020, 21-42"
"TWL","Titagarh Wagons Limited","Jagdish Prasad Chowdhary along with PAC","28-AUG-2020 to 29-AUG-2020",,"0","52836540","Reg29(2)","01-Sep-2020, 21-42"
"APARINDS","Apar Industries Limited","Maithili N Desai Family Private Trust No 2 Trustee Maithili Trusteeship Services Private Limited Promoter","31-AUG-2020 to 31-AUG-2020","25000",,"4388187","Reg29(2)","01-Sep-2020, 21-26"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Tau Investment Holdings Pte. Ltd along with PAC","31-AUG-2020 to 01-SEP-2020","7728210",,"7728210","Reg29(1)","01-Sep-2020, 21-24"
"NCLIND","NCL Industries Limited","K Pooja","31-AUG-2020 to 31-AUG-2020","7500",,"1375750","Reg29(2)","01-Sep-2020, 21-20"
"NCLIND","NCL Industries Limited","Divya Penumacha","31-AUG-2020 to 31-AUG-2020","7500",,"348521","Reg29(2)","01-Sep-2020, 21-20"
"NCLIND","NCL Industries Limited","Ashven Dalta","31-AUG-2020 to 31-AUG-2020","97000",,"1443224","Reg29(2)","01-Sep-2020, 21-20"
"BRIGHT","Bright Solar Limited","Piyushkumar Babubhai Thumar","31-AUG-2020 to 31-AUG-2020",,"84000","13698000","Reg29(2)","01-Sep-2020, 21-18"
"MAHICKRA","Mahickra Chemicals Limited","ANITABEN ASHISHKUMAR GANDHI","31-AUG-2020 to 31-AUG-2020","1500",,"169900","Reg29(2)","01-Sep-2020, 21-16"
"NCLIND","NCL Industries Limited","Divya Penumacha","01-SEP-2020 to 01-SEP-2020","1000",,"349521","Reg29(2)","01-Sep-2020, 21-14"
"XELPMOC","Xelpmoc Design And Tech Limited","University of Notre Dame du lac","03-AUG-2020 to 28-AUG-2020",,"332245","803800","Reg29(2)","01-Sep-2020, 19-18"
"ORIENTBELL","Orient Bell Limited","Alfa Mercantile Limited","28-AUG-2020 to 28-AUG-2020","31570",,"76410","Reg29(2)","01-Sep-2020, 19-14"
"ORIENTBELL","Orient Bell Limited","Alfa Mercantile Limited","31-AUG-2020 to 31-AUG-2020","32370",,"108780","Reg29(2)","01-Sep-2020, 19-08"
"INTELLECT","Intellect Design Arena Limited","AMANSA HOLDINGS PRIVATE LIMITED & AMANSA INVESTMENTS LTD","27-AUG-2020 to 27-AUG-2020","1038859",,"9878937","Reg29(2)","01-Sep-2020, 19-04"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Namplas Chemicals Pvt Ltd","31-AUG-2020 to 31-AUG-2020",,"113292","0","Reg29(2)","01-Sep-2020, 19-04"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Synit Drugs Pvt Ltd","31-AUG-2020 to 31-AUG-2020",,"500","0","Reg29(2)","01-Sep-2020, 19-04"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Mody Bros.held by Pranabh D Mody Partner","31-AUG-2020 to 31-AUG-2020",,"17517","0","Reg29(2)","01-Sep-2020, 19-04"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Mody Trading Co.","31-AUG-2020 to 31-AUG-2020",,"48991","0","Reg29(2)","01-Sep-2020, 19-04"
"MAXIND","Max India Limited","WF ASIAN RECONNAISSANCE FUND LTD and WF ASIAN SMLR COMPANIES FD LTD","28-AUG-2020 to 28-AUG-2020",,,"5221624","Reg29(1)","01-Sep-2020, 19-04"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Priti Family Trust","31-AUG-2020 to 31-AUG-2020",,"207055","0","Reg29(2)","01-Sep-2020, 19-02"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Priti Rajen Shah","31-AUG-2020 to 31-AUG-2020",,"9204","0","Reg29(2)","01-Sep-2020, 19-02"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","Shirish Bhagwanlal Mody","31-AUG-2020 to 31-AUG-2020",,"2130420","2522605","Reg29(2)","01-Sep-2020, 19-02"
